airline_iata,airline_icao,flight_iata,flight_icao,flight_number,dep_iata,departure_airport,dep_terminal,dep_gate,dep_time,dep_time_utc,dep_estimated,dep_estimated_utc,dep_actual,dep_actual_utc,arr_iata,arrival_airport,arr_terminal,arr_gate,arr_baggage,arr_time,arr_time_utc,arr_estimated,arr_estimated_utc,arr_actual,arr_actual_utc,cs_airline_iata,cs_flight_number,cs_flight_iata,status,duration,delayed,dep_delayed,arr_delayed,aircraft_icao,arr_time_ts,dep_time_ts,arr_estimated_ts,dep_estimated_ts,arr_actual_ts,dep_actual_ts,departure_delay,delay_category,departure_terminal,arrival_terminal
MU,CES,MU4074,CES4074,4074,WLG,NZWN,,,2025-04-26 15:55,2025-04-26 03:55,2025-04-26 17:33,2025-04-26 05:33,2025-04-26 17:33,2025-04-26 05:33,SYD,YSSY,1,63,9,2025-04-26 17:35,2025-04-26 07:35,2025-04-26 18:43,2025-04-26 08:43,,,QF,164,QF164,active,220,68,98.0,68.0,,1745652900,1745639700,1745656980.0,1745645580.0,,1745645580.0,98,Long Delay,Unknown,1
QF,QFA,QF164,QFA164,164,WLG,NZWN,,,2025-04-26 15:55,2025-04-26 03:55,2025-04-26 17:33,2025-04-26 05:33,2025-04-26 17:33,2025-04-26 05:33,SYD,YSSY,1,63,9,2025-04-26 17:35,2025-04-26 07:35,2025-04-26 18:43,2025-04-26 08:43,,,,,,active,220,68,98.0,68.0,,1745652900,1745639700,1745656980.0,1745645580.0,,1745645580.0,98,Long Delay,Unknown,1
EK,UAE,EK5048,UAE5048,5048,WLG,NZWN,,,2025-04-26 15:55,2025-04-26 03:55,2025-04-26 17:33,2025-04-26 05:33,2025-04-26 17:33,2025-04-26 05:33,SYD,YSSY,1,63,9,2025-04-26 17:35,2025-04-26 07:35,2025-04-26 18:43,2025-04-26 08:43,,,QF,164,QF164,active,220,68,98.0,68.0,,1745652900,1745639700,1745656980.0,1745645580.0,,1745645580.0,98,Long Delay,Unknown,1
BA,BAW,BA7487,BAW7487,7487,WLG,NZWN,,,2025-04-26 15:55,2025-04-26 03:55,2025-04-26 17:33,2025-04-26 05:33,2025-04-26 17:33,2025-04-26 05:33,SYD,YSSY,1,63,9,2025-04-26 17:35,2025-04-26 07:35,2025-04-26 18:43,2025-04-26 08:43,,,QF,164,QF164,active,220,68,98.0,68.0,,1745652900,1745639700,1745656980.0,1745645580.0,,1745645580.0,98,Long Delay,Unknown,1
CI,CAL,CI8656,CAL8656,8656,WLG,NZWN,,,2025-04-26 15:55,2025-04-26 03:55,2025-04-26 17:33,2025-04-26 05:33,2025-04-26 17:33,2025-04-26 05:33,SYD,YSSY,1,63,9,2025-04-26 17:35,2025-04-26 07:35,2025-04-26 18:43,2025-04-26 08:43,,,QF,164,QF164,active,220,68,98.0,68.0,,1745652900,1745639700,1745656980.0,1745645580.0,,1745645580.0,98,Long Delay,Unknown,1
SC,CDG,SC5408,CDG5408,5408,PEK,ZBAA,3,,2025-04-26 12:30,2025-04-26 04:30,2025-04-26 13:35,2025-04-26 05:35,2025-04-26 13:35,2025-04-26 05:35,SHA,ZSSS,2,,22,2025-04-26 14:45,2025-04-26 06:45,,,,,CA,1533,CA1533,active,135,65,65.0,,,1745649900,1745641800,,1745645700.0,,1745645700.0,65,Long Delay,3,2
VJ,VJC,VJ492,VJC492,492,BMV,VVBM,,,2025-04-26 10:55,2025-04-26 03:55,2025-04-26 12:35,2025-04-26 05:35,2025-04-26 12:35,2025-04-26 05:35,HAN,VVNB,T1,,,2025-04-26 12:40,2025-04-26 05:40,2025-04-26 14:09,2025-04-26 07:09,2025-04-26 14:09,2025-04-26 07:09,,,,landed,105,89,,89.0,,1745646000,1745639700,1745651340.0,1745645700.0,1745651340.0,1745645700.0,100,Long Delay,Unknown,T1
ZH,CSZ,ZH1533,CSZ1533,1533,PEK,ZBAA,3,,2025-04-26 12:30,2025-04-26 04:30,2025-04-26 13:35,2025-04-26 05:35,2025-04-26 13:35,2025-04-26 05:35,SHA,ZSSS,2,,22,2025-04-26 14:45,2025-04-26 06:45,,,,,CA,1533,CA1533,active,135,65,65.0,,,1745649900,1745641800,,1745645700.0,,1745645700.0,65,Long Delay,3,2
VJ,VJC,VJ654,VJC654,654,SGN,VVTS,1,,2025-04-26 10:25,2025-04-26 03:25,2025-04-26 12:35,2025-04-26 05:35,2025-04-26 12:35,2025-04-26 05:35,DAD,VVDN,1,,,2025-04-26 11:50,2025-04-26 04:50,2025-04-26 13:35,2025-04-26 06:35,2025-04-26 13:35,2025-04-26 06:35,,,,landed,85,105,,105.0,,1745643000,1745637900,1745649300.0,1745645700.0,1745649300.0,1745645700.0,130,Long Delay,1,1
G3,GLO,G35824,GLO5824,5824,BOG,SKBO,1,A10,2025-04-25 23:30,2025-04-26 04:30,2025-04-26 00:35,2025-04-26 05:35,2025-04-26 00:35,2025-04-26 05:35,MEX,MMMX,1,,,2025-04-26 03:05,2025-04-26 09:05,2025-04-26 04:16,2025-04-26 10:16,,,AV,44,AV44,active,275,71,65.0,71.0,,1745658300,1745641800,1745662560.0,1745645700.0,,1745645700.0,65,Long Delay,1,1
CA,CCA,CA1533,CCA1533,1533,PEK,ZBAA,3,,2025-04-26 12:30,2025-04-26 04:30,2025-04-26 13:35,2025-04-26 05:35,2025-04-26 13:35,2025-04-26 05:35,SHA,ZSSS,2,,22,2025-04-26 14:45,2025-04-26 06:45,,,,,,,,active,135,65,65.0,,B77W,1745649900,1745641800,,1745645700.0,,1745645700.0,65,Long Delay,3,2
AV,AVA,AV44,AVA44,44,BOG,SKBO,1,A10,2025-04-25 23:30,2025-04-26 04:30,2025-04-26 00:35,2025-04-26 05:35,2025-04-26 00:35,2025-04-26 05:35,MEX,MMMX,1,,,2025-04-26 03:05,2025-04-26 09:05,2025-04-26 04:16,2025-04-26 10:16,,,,,,active,275,71,65.0,71.0,A320,1745658300,1745641800,1745662560.0,1745645700.0,,1745645700.0,65,Long Delay,1,1
AV,AVA,AV2103,AVA2103,2103,SFO,KSFO,3,F6,2025-04-25 21:30,2025-04-26 04:30,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SBP,KSBP,,,,2025-04-25 22:45,2025-04-26 05:45,2025-04-25 23:45,2025-04-26 06:45,2025-04-25 23:45,2025-04-26 06:45,OO,5446,OO5446,landed,75,60,66.0,60.0,,1745646300,1745641800,1745649900.0,1745645760.0,1745649900.0,1745645760.0,66,Long Delay,3,Unknown
JX,SJX,JX7023,SJX7023,7023,PDX,KPDX,,C5,2025-04-25 20:45,2025-04-26 03:45,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SEA,KSEA,,C16,12,2025-04-25 21:39,2025-04-26 04:39,2025-04-25 23:18,2025-04-26 06:18,2025-04-25 23:18,2025-04-26 06:18,QX,2320,QX2320,landed,54,99,111.0,99.0,,1745642340,1745639100,1745648280.0,1745645760.0,1745648280.0,1745645760.0,111,Long Delay,Unknown,Unknown
TN,THT,TN2641,THT2641,2641,PDX,KPDX,,C5,2025-04-25 20:45,2025-04-26 03:45,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SEA,KSEA,,C16,12,2025-04-25 21:39,2025-04-26 04:39,2025-04-25 23:18,2025-04-26 06:18,2025-04-25 23:18,2025-04-26 06:18,QX,2320,QX2320,landed,54,99,111.0,99.0,,1745642340,1745639100,1745648280.0,1745645760.0,1745648280.0,1745645760.0,111,Long Delay,Unknown,Unknown
LH,DLH,LH9388,DLH9388,9388,SFO,KSFO,3,F6,2025-04-25 21:30,2025-04-26 04:30,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SBP,KSBP,,,,2025-04-25 22:45,2025-04-26 05:45,2025-04-25 23:45,2025-04-26 06:45,2025-04-25 23:45,2025-04-26 06:45,OO,5446,OO5446,landed,75,60,66.0,60.0,,1745646300,1745641800,1745649900.0,1745645760.0,1745649900.0,1745645760.0,66,Long Delay,3,Unknown
JT,LNI,JT138,LNI138,138,KNO,WIMM,,,2025-04-26 10:20,2025-04-26 03:20,2025-04-26 12:36,2025-04-26 05:36,2025-04-26 12:36,2025-04-26 05:36,PEN,WMKP,,,,2025-04-26 12:10,2025-04-26 04:10,2025-04-26 14:15,2025-04-26 06:15,2025-04-26 14:15,2025-04-26 06:15,,,,landed,50,125,,125.0,,1745640600,1745637600,1745648100.0,1745645760.0,1745648100.0,1745645760.0,136,Long Delay,Unknown,Unknown
W6,WZZ,W61315,WZZ1315,1315,WAW,EPWA,,,2025-04-26 06:20,2025-04-26 04:20,2025-04-26 07:36,2025-04-26 05:36,2025-04-26 07:36,2025-04-26 05:36,LBA,EGNM,2,,,2025-04-26 08:00,2025-04-26 07:00,2025-04-26 09:00,2025-04-26 08:00,,,,,,active,160,60,76.0,60.0,,1745650800,1745641200,1745654400.0,1745645760.0,,1745645760.0,76,Long Delay,Unknown,2
BA,BAW,BA2990,BAW2990,2990,PDX,KPDX,,C5,2025-04-25 20:45,2025-04-26 03:45,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SEA,KSEA,,C16,12,2025-04-25 21:39,2025-04-26 04:39,2025-04-25 23:18,2025-04-26 06:18,2025-04-25 23:18,2025-04-26 06:18,QX,2320,QX2320,landed,54,99,111.0,99.0,,1745642340,1745639100,1745648280.0,1745645760.0,1745648280.0,1745645760.0,111,Long Delay,Unknown,Unknown
CM,CMP,CM1471,CMP1471,1471,SFO,KSFO,3,F6,2025-04-25 21:30,2025-04-26 04:30,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SBP,KSBP,,,,2025-04-25 22:45,2025-04-26 05:45,2025-04-25 23:45,2025-04-26 06:45,2025-04-25 23:45,2025-04-26 06:45,OO,5446,OO5446,landed,75,60,66.0,60.0,,1745646300,1745641800,1745649900.0,1745645760.0,1745649900.0,1745645760.0,66,Long Delay,3,Unknown
QX,QXE,QX2320,QXE2320,2320,PDX,KPDX,,C5,2025-04-25 20:45,2025-04-26 03:45,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SEA,KSEA,,C16,12,2025-04-25 21:39,2025-04-26 04:39,2025-04-25 23:18,2025-04-26 06:18,2025-04-25 23:18,2025-04-26 06:18,,,,landed,54,99,111.0,99.0,,1745642340,1745639100,1745648280.0,1745645760.0,1745648280.0,1745645760.0,111,Long Delay,Unknown,Unknown
UA,UAL,UA5446,UAL5446,5446,SFO,KSFO,3,F6,2025-04-25 21:30,2025-04-26 04:30,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SBP,KSBP,,,,2025-04-25 22:45,2025-04-26 05:45,2025-04-25 23:45,2025-04-26 06:45,2025-04-25 23:45,2025-04-26 06:45,OO,5446,OO5446,landed,75,60,66.0,60.0,,1745646300,1745641800,1745649900.0,1745645760.0,1745649900.0,1745645760.0,66,Long Delay,3,Unknown
HA,HAL,HA6399,HAL6399,6399,PDX,KPDX,,C5,2025-04-25 20:45,2025-04-26 03:45,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SEA,KSEA,,C16,12,2025-04-25 21:39,2025-04-26 04:39,2025-04-25 23:18,2025-04-26 06:18,2025-04-25 23:18,2025-04-26 06:18,QX,2320,QX2320,landed,54,99,111.0,99.0,,1745642340,1745639100,1745648280.0,1745645760.0,1745648280.0,1745645760.0,111,Long Delay,Unknown,Unknown
AS,ASA,AS2320,ASA2320,2320,PDX,KPDX,,C5,2025-04-25 20:45,2025-04-26 03:45,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SEA,KSEA,,C16,12,2025-04-25 21:39,2025-04-26 04:39,2025-04-25 23:18,2025-04-26 06:18,2025-04-25 23:18,2025-04-26 06:18,QX,2320,QX2320,landed,54,99,111.0,99.0,,1745642340,1745639100,1745648280.0,1745645760.0,1745648280.0,1745645760.0,111,Long Delay,Unknown,Unknown
OO,SKW,OO5446,SKW5446,5446,SFO,KSFO,3,F6,2025-04-25 21:30,2025-04-26 04:30,2025-04-25 22:36,2025-04-26 05:36,2025-04-25 22:36,2025-04-26 05:36,SBP,KSBP,,,,2025-04-25 22:45,2025-04-26 05:45,2025-04-25 23:45,2025-04-26 06:45,2025-04-25 23:45,2025-04-26 06:45,,,,landed,75,60,66.0,60.0,,1745646300,1745641800,1745649900.0,1745645760.0,1745649900.0,1745645760.0,66,Long Delay,3,Unknown
DL,DAL,DL793,DAL793,793,ATL,KATL,S,B25,2025-04-25 22:55,2025-04-26 02:55,2025-04-26 01:37,2025-04-26 05:37,2025-04-26 01:37,2025-04-26 05:37,LAS,KLAS,1,D39,,2025-04-26 00:22,2025-04-26 07:22,2025-04-26 02:50,2025-04-26 09:50,,,,,,active,267,148,162.0,148.0,A321,1745652120,1745636100,1745661000.0,1745645820.0,,1745645820.0,162,Long Delay,S,1
LA,LAN,LA6174,LAN6174,6174,ATL,KATL,S,B25,2025-04-25 22:55,2025-04-26 02:55,2025-04-26 01:37,2025-04-26 05:37,2025-04-26 01:37,2025-04-26 05:37,LAS,KLAS,1,D39,,2025-04-26 00:22,2025-04-26 07:22,2025-04-26 02:50,2025-04-26 09:50,,,DL,793,DL793,active,267,148,162.0,148.0,,1745652120,1745636100,1745661000.0,1745645820.0,,1745645820.0,162,Long Delay,S,1
VS,VIR,VS5029,VIR5029,5029,ATL,KATL,S,B25,2025-04-25 22:55,2025-04-26 02:55,2025-04-26 01:37,2025-04-26 05:37,2025-04-26 01:37,2025-04-26 05:37,LAS,KLAS,1,D39,,2025-04-26 00:22,2025-04-26 07:22,2025-04-26 02:50,2025-04-26 09:50,,,DL,793,DL793,active,267,148,162.0,148.0,,1745652120,1745636100,1745661000.0,1745645820.0,,1745645820.0,162,Long Delay,S,1
AM,AMX,AM3576,AMX3576,3576,ATL,KATL,S,B25,2025-04-25 22:55,2025-04-26 02:55,2025-04-26 01:37,2025-04-26 05:37,2025-04-26 01:37,2025-04-26 05:37,LAS,KLAS,1,D39,,2025-04-26 00:22,2025-04-26 07:22,2025-04-26 02:50,2025-04-26 09:50,,,DL,793,DL793,active,267,148,162.0,148.0,,1745652120,1745636100,1745661000.0,1745645820.0,,1745645820.0,162,Long Delay,S,1
TN,THT,TN2634,THT2634,2634,LAX,KLAX,6,63A,2025-04-25 21:45,2025-04-26 04:45,2025-04-25 22:38,2025-04-26 05:38,2025-04-25 22:38,2025-04-26 05:38,SFO,KSFO,1,B7,CL-B6,2025-04-25 23:14,2025-04-26 06:14,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3109,OO3109,landed,89,67,53.0,67.0,,1745648040,1745642700,1745652060.0,1745645880.0,1745652060.0,1745645880.0,53,Long Delay,6,1
AS,ASA,AS3109,ASA3109,3109,LAX,KLAX,6,63A,2025-04-25 21:45,2025-04-26 04:45,2025-04-25 22:38,2025-04-26 05:38,2025-04-25 22:38,2025-04-26 05:38,SFO,KSFO,1,B7,CL-B6,2025-04-25 23:14,2025-04-26 06:14,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3109,OO3109,landed,89,67,53.0,67.0,,1745648040,1745642700,1745652060.0,1745645880.0,1745652060.0,1745645880.0,53,Long Delay,6,1
QR,QTR,QR8818,QTR8818,8818,LAX,KLAX,6,63A,2025-04-25 21:45,2025-04-26 04:45,2025-04-25 22:38,2025-04-26 05:38,2025-04-25 22:38,2025-04-26 05:38,SFO,KSFO,1,B7,CL-B6,2025-04-25 23:14,2025-04-26 06:14,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3109,OO3109,landed,89,67,53.0,67.0,,1745648040,1745642700,1745652060.0,1745645880.0,1745652060.0,1745645880.0,53,Long Delay,6,1
OO,SKW,OO3109,SKW3109,3109,LAX,KLAX,6,63A,2025-04-25 21:45,2025-04-26 04:45,2025-04-25 22:38,2025-04-26 05:38,2025-04-25 22:38,2025-04-26 05:38,SFO,KSFO,1,B7,CL-B6,2025-04-25 23:14,2025-04-26 06:14,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,,,,landed,89,67,53.0,67.0,,1745648040,1745642700,1745652060.0,1745645880.0,1745652060.0,1745645880.0,53,Long Delay,6,1
SQ,SIA,SQ1363,SIA1363,1363,LAX,KLAX,6,63A,2025-04-25 21:45,2025-04-26 04:45,2025-04-25 22:38,2025-04-26 05:38,2025-04-25 22:38,2025-04-26 05:38,SFO,KSFO,1,B7,CL-B6,2025-04-25 23:14,2025-04-26 06:14,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3109,OO3109,landed,89,67,53.0,67.0,,1745648040,1745642700,1745652060.0,1745645880.0,1745652060.0,1745645880.0,53,Long Delay,6,1
IB,IBE,IB7269,IBE7269,7269,LAX,KLAX,6,63A,2025-04-25 21:45,2025-04-26 04:45,2025-04-25 22:38,2025-04-26 05:38,2025-04-25 22:38,2025-04-26 05:38,SFO,KSFO,1,B7,CL-B6,2025-04-25 23:14,2025-04-26 06:14,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3109,OO3109,landed,89,67,53.0,67.0,,1745648040,1745642700,1745652060.0,1745645880.0,1745652060.0,1745645880.0,53,Long Delay,6,1
HA,HAL,HA4937,HAL4937,4937,LAX,KLAX,6,63A,2025-04-25 21:45,2025-04-26 04:45,2025-04-25 22:38,2025-04-26 05:38,2025-04-25 22:38,2025-04-26 05:38,SFO,KSFO,1,B7,CL-B6,2025-04-25 23:14,2025-04-26 06:14,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3109,OO3109,landed,89,67,53.0,67.0,,1745648040,1745642700,1745652060.0,1745645880.0,1745652060.0,1745645880.0,53,Long Delay,6,1
AS,ASA,AS3413,ASA3413,3413,PHX,KPHX,3,E4,2025-04-25 19:59,2025-04-26 02:59,2025-04-25 22:39,2025-04-26 05:39,2025-04-25 22:39,2025-04-26 05:39,BOI,KBOI,,C6,,2025-04-25 23:15,2025-04-26 05:15,2025-04-26 01:41,2025-04-26 07:41,,,OO,3413,OO3413,active,136,146,160.0,146.0,E170,1745644500,1745636340,1745653260.0,1745645940.0,,1745645940.0,160,Long Delay,3,Unknown
AA,AAL,AA4964,AAL4964,4964,ORD,KORD,3,G1A,2025-04-25 21:10,2025-04-26 02:10,2025-04-26 00:39,2025-04-26 05:39,2025-04-26 00:39,2025-04-26 05:39,MLI,KMLI,,A3,A,2025-04-25 22:15,2025-04-26 03:15,2025-04-26 01:39,2025-04-26 06:39,2025-04-26 01:39,2025-04-26 06:39,OO,4964,OO4964,landed,65,204,209.0,204.0,,1745637300,1745633400,1745649540.0,1745645940.0,1745649540.0,1745645940.0,209,Long Delay,3,Unknown
HA,HAL,HA6431,HAL6431,6431,PHX,KPHX,3,E4,2025-04-25 19:59,2025-04-26 02:59,2025-04-25 22:39,2025-04-26 05:39,2025-04-25 22:39,2025-04-26 05:39,BOI,KBOI,,C6,,2025-04-25 23:15,2025-04-26 05:15,2025-04-26 01:41,2025-04-26 07:41,,,OO,3413,OO3413,active,136,146,160.0,146.0,,1745644500,1745636340,1745653260.0,1745645940.0,,1745645940.0,160,Long Delay,3,Unknown
OO,SKW,OO4964,SKW4964,4964,ORD,KORD,3,G1A,2025-04-25 21:10,2025-04-26 02:10,2025-04-26 00:39,2025-04-26 05:39,2025-04-26 00:39,2025-04-26 05:39,MLI,KMLI,,A3,A,2025-04-25 22:15,2025-04-26 03:15,2025-04-26 01:39,2025-04-26 06:39,2025-04-26 01:39,2025-04-26 06:39,,,,landed,65,204,209.0,204.0,,1745637300,1745633400,1745649540.0,1745645940.0,1745649540.0,1745645940.0,209,Long Delay,3,Unknown
OO,SKW,OO3413,SKW3413,3413,PHX,KPHX,3,E4,2025-04-25 19:59,2025-04-26 02:59,2025-04-25 22:39,2025-04-26 05:39,2025-04-25 22:39,2025-04-26 05:39,BOI,KBOI,,C6,,2025-04-25 23:15,2025-04-26 05:15,2025-04-26 01:41,2025-04-26 07:41,,,,,,active,136,146,160.0,146.0,,1745644500,1745636340,1745653260.0,1745645940.0,,1745645940.0,160,Long Delay,3,Unknown
AS,ASA,AS4346,ASA4346,4346,ORD,KORD,3,G1A,2025-04-25 21:10,2025-04-26 02:10,2025-04-26 00:39,2025-04-26 05:39,2025-04-26 00:39,2025-04-26 05:39,MLI,KMLI,,A3,A,2025-04-25 22:15,2025-04-26 03:15,2025-04-26 01:39,2025-04-26 06:39,2025-04-26 01:39,2025-04-26 06:39,OO,4964,OO4964,landed,65,204,209.0,204.0,,1745637300,1745633400,1745649540.0,1745645940.0,1745649540.0,1745645940.0,209,Long Delay,3,Unknown
WN,SWA,WN986,SWA986,986,DEN,KDEN,,,2025-04-25 20:55,2025-04-26 02:55,2025-04-25 23:39,2025-04-26 05:39,2025-04-25 23:39,2025-04-26 05:39,LAS,KLAS,1,C11,3,2025-04-25 21:55,2025-04-26 04:55,2025-04-26 00:32,2025-04-26 07:32,,,,,,active,120,157,164.0,157.0,B738,1745643300,1745636100,1745652720.0,1745645940.0,,1745645940.0,164,Long Delay,Unknown,1
CM,CMP,CM1053,CMP1053,1053,DEN,KDEN,,B52,2025-04-25 21:03,2025-04-26 03:03,2025-04-25 23:40,2025-04-26 05:40,2025-04-25 23:40,2025-04-26 05:40,FSD,KFSD,,7,1,2025-04-25 23:44,2025-04-26 04:44,2025-04-26 02:02,2025-04-26 07:02,2025-04-26 02:02,2025-04-26 07:02,OO,5700,OO5700,landed,101,138,157.0,138.0,,1745642640,1745636580,1745650920.0,1745646000.0,1745650920.0,1745646000.0,157,Long Delay,Unknown,Unknown
MF,CXA,MF3745,CXA3745,3745,CTU,ZUUU,T2,,2025-04-26 12:25,2025-04-26 04:25,2025-04-26 13:40,2025-04-26 05:40,2025-04-26 13:40,2025-04-26 05:40,SHA,ZSSS,2,,31,2025-04-26 14:55,2025-04-26 06:55,2025-04-26 16:29,2025-04-26 08:29,,,MU,5410,MU5410,active,150,75,75.0,94.0,,1745650500,1745641500,1745656140.0,1745646000.0,,1745646000.0,75,Long Delay,T2,2
